N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"74,100","2,200",-2.88%,100,"4,423,609","5,969,783",51.99,"23,893,679",15.60,9.99,
2,SK하이닉스,"100,000","3,500",-3.38%,"5,000","728,002","728,002",47.00,"6,307,959",12.51,9.53,
3,NAVER,"387,000","5,500",-1.40%,100,"635,699","164,263",56.54,"662,895",3.85,15.22,
4,삼성전자우,"70,500","1,100",-1.54%,100,"580,135","822,887",75.25,"3,005,683",14.85,N/A,
5,삼성바이오로직스,"874,000","3,000",+0.34%,"2,500","578,282","66,165",10.55,"100,350",172.73,N/A,
6,LG화학,"767,000","9,000",-1.16%,"5,000","541,443","70,592",46.59,"345,094",20.66,2.93,
7,카카오,"116,500","1,000",-0.85%,100,"518,416","444,992",30.42,"3,150,882",108.57,2.70,
8,삼성SDI,"709,000","6,000",-0.84%,"5,000","487,541","68,765",44.91,"304,265",52.53,4.54,
9,현대차,"201,500",0,0.00%,"5,000","430,541","213,668",28.55,"789,415",14.60,2.04,
10,셀트리온,"261,000","2,500",-0.95%,"1,000","360,010","137,935",20.74,"449,285",61.20,16.68,
11,기아,"81,400","1,300",+1.62%,"5,000","329,966","405,363",34.52,"1,950,621",9.50,5.05,
12,카카오뱅크,"69,300","1,300",-1.84%,"5,000","329,244","475,100",5.64,"1,141,040",224.27,5.08,
13,POSCO,"330,000","5,500",-1.64%,"5,000","287,717","87,187",55.14,"341,167",7.46,3.61,
14,SK이노베이션,"265,500","4,500",+1.72%,"5,000","245,496","92,466",23.89,"1,252,274",-55.00,-13.58,
15,크래프톤,"500,000",0,0.00%,100,"244,757","48,951",6.29,"261,552",43.05,61.86,
16,현대모비스,"253,500",500,+0.20%,"5,000","240,300","94,793",35.05,"300,025",10.88,4.66,
17,SK텔레콤,"319,000","3,500",+1.11%,500,"229,872","72,060",44.40,"374,267",12.11,6.44,
18,KB금융,"55,200",700,+1.28%,"5,000","229,526","415,808",67.92,"2,455,094",5.44,8.53,
19,삼성물산,"122,500","2,500",-2.00%,100,"228,937","186,887",15.11,"401,097",13.97,3.81,
20,LG전자,"129,500","3,000",-2.26%,"5,000","211,924","163,648",30.33,"1,423,144",15.67,13.23,
21,SK바이오사이언스,"273,500","3,000",+1.11%,500,"209,228","76,500",5.58,"1,408,085",133.22,13.25,
22,LG생활건강,"1,333,000","10,000",-0.74%,"5,000","208,191","15,618",45.26,"50,545",27.99,17.92,
23,신한지주,"39,850",300,-0.75%,"5,000","205,865","516,600",60.64,"1,502,007",5.16,8.20,
24,SK,"261,000","1,500",-0.57%,200,"183,640","70,360",19.73,"192,764",16.85,1.11,
25,SK아이이테크놀로지,"217,500","1,000",+0.46%,"1,000","155,072","71,298",9.62,"400,459",143.00,11.00,
26,한국전력,"23,650",100,+0.42%,"5,000","151,824","641,964",15.03,"1,847,810",12.74,2.91,
27,HMM,"36,800","1,350",-3.54%,"5,000","149,184","405,392",9.96,"4,540,046",23.31,8.93,
28,삼성생명,"72,900","1,100",-1.49%,500,"145,800","200,000",13.01,"372,722",8.32,3.53,
29,LG,"90,300","3,500",-3.73%,"5,000","142,043","157,301",33.56,"334,728",5.66,7.50,
30,포스코케미칼,"177,500","12,000",+7.25%,500,"137,497","77,463",8.07,"1,285,386",128.25,2.96,
31,하나금융지주,"45,550",150,-0.33%,"5,000","136,760","300,242",68.24,"1,411,238",4.49,8.96,
32,삼성전기,"176,500","5,500",-3.02%,"5,000","131,834","74,694",33.03,"471,313",15.39,10.92,
33,S-Oil,"112,000","3,000",-2.61%,"2,500","126,093","112,583",78.39,"591,563",14.40,-13.07,
34,엔씨소프트,"574,000","3,000",+0.53%,500,"126,016","21,954",45.62,"171,092",30.81,20.83,
35,삼성에스디에스,"160,500",0,0.00%,500,"124,191","77,378",11.52,"110,879",19.27,6.71,
36,대한항공,"33,500",200,-0.59%,"5,000","116,520","347,821",12.65,"3,519,068",17.44,-7.22,
37,하이브,"287,000","3,500",+1.23%,500,"112,076","39,051",16.37,"225,379",102.10,12.52,
38,KT&G,"80,500",400,-0.49%,"5,000","110,520","137,292",36.86,"500,695",9.98,13.22,
39,삼성화재,"231,500","1,500",-0.64%,500,"109,673","47,375",48.80,"105,861",10.97,4.96,
40,두산중공업,"20,450",550,-2.62%,"5,000","105,639","516,572",9.53,"4,246,787",-48.57,-37.20,
41,아모레퍼시픽,"180,000","2,000",+1.12%,500,"105,287","58,493",32.20,"294,919",83.53,0.78,
42,넷마블,"114,500","1,500",-1.29%,100,"98,417","85,954",22.68,"215,441",34.39,6.35,
43,현대중공업,"107,500","7,500",+7.50%,"5,000","95,431","88,773",1.40,"1,422,689",-9.71,-7.86,
